SampleID	ReferenceFile
S001	J23100_AB.fasta
S002	J23100_EB.fasta
S003	J23100_FB.fasta
S004	J23100_GB.fasta
S005	J23102_AB.fasta
S006	J23102_EB.fasta
S007	J23102_FB.fasta
S008	J23102_GB.fasta
S009	J23103_AB.fasta
S010	J23103_EB.fasta
S011	J23103_FB.fasta
S012	J23103_GB.fasta
S013	J23106_AB.fasta
S014	J23106_EB.fasta
S015	J23106_FB.fasta
S016	J23106_GB.fasta
S017	J23107_AB.fasta
S018	J23107_EB.fasta
S019	J23107_FB.fasta
S020	J23107_GB.fasta
S021	J23116_AB.fasta
S022	J23116_EB.fasta
S023	J23116_FB.fasta
S024	J23116_GB.fasta
S025	R0010_AB.fasta
S026	R0010_EB.fasta
S027	R0010_FB.fasta
S028	R0010_GB.fasta
S029	R0040_AB.fasta
S030	R0040_EB.fasta
S031	R0040_FB.fasta
S032	R0040_GB.fasta
S033	R0063_AB.fasta
S034	R0063_EB.fasta
S035	R0063_FB.fasta
S036	R0063_GB.fasta
S037	I13453_AB.fasta
S038	I13453_EB.fasta
S039	I13453_FB.fasta
S040	I13453_GB.fasta
S041	B0032m_BC.fasta
S042	B0033m_BC.fasta
S043	B0034m_BC.fasta
S044	BCD12_BC.fasta
S045	BCD2_BC.fasta
S046	BCD8_BC.fasta
S047	C0012m_CD.fasta
S048	C0040_CD.fasta
S049	C0062_CD.fasta
S050	C0080_CD.fasta
S051	cre_CD.fasta
S052	E0030_CD.fasta
S053	E0040m_CD.fasta
S054	E1010m_CD.fasta
S055	eBFP2_CD.fasta
S056	B0015_DE.fasta
S057	B0015_DF.fasta
S058	B0015_DG.fasta
S059	B0015_DH.fasta
S060	DVA_AB.fasta
S061	DVA_AE.fasta
S062	DVA_AF.fasta
S063	DVA_AG.fasta
S064	DVA_AH.fasta
S065	DVA_BC.fasta
S066	DVA_CD.fasta
S067	DVA_DE.fasta
S068	DVA_DF.fasta
S069	DVA_DG.fasta
S070	DVA_DH.fasta
S071	DVA_EB.fasta
S072	DVA_EF.fasta
S073	DVA_EG.fasta
S074	DVA_EH.fasta
S075	DVA_FB.fasta
S076	DVA_GB.fasta
S077	DVA.fasta
S078	pJ02B2Gm_AE.fasta
S079	pJ02B2Gm_EF.fasta
S080	pJ02B2Rm_AE.fasta
S081	pJ02B2Rm_EF.fasta
S082	pJ02B2Gm_Rm_AF.fasta
S083	pJ02B2Rm_Gm_AF.fasta
S084	pJ02B2Gm_AE.fasta
S085	pJ02B2Gm_EF.fasta
S086	pJ02B2Rm_AE.fasta
S087	pJ02B2Rm_EF.fasta
S088	DVK_AE.fasta
S089	DVK_AF.fasta
S090	DVK_EF.fasta
S091	DVK_FG.fasta
S092	DVK_GH.fasta
S093	DVK.fasta
S094	empty
S095	empty
S096	empty
S097	pYTK001.fasta
S098	pYTK002.fasta
S099	pYTK003.fasta
S100	pYTK004.fasta
S101	pYTK005.fasta
S102	pYTK006.fasta
S103	pYTK007.fasta
S104	pYTK008.fasta
S105	pYTK009.fasta
S106	pYTK010.fasta
S107	pYTK011.fasta
S108	pYTK012.fasta
S109	pYTK013.fasta
S110	pYTK014.fasta
S111	pYTK015.fasta
S112	pYTK016.fasta
S113	pYTK017.fasta
S114	pYTK018.fasta
S115	pYTK019.fasta
S116	pYTK020.fasta
S117	pYTK021.fasta
S118	pYTK022.fasta
S119	pYTK023.fasta
S120	pYTK024.fasta
S121	pYTK025.fasta
S122	pYTK026.fasta
S123	pYTK027.fasta
S124	pYTK028.fasta
S125	pYTK029.fasta
S126	pYTK030.fasta
S127	pYTK031.fasta
S128	pYTK032.fasta
S129	pYTK033.fasta
S130	pYTK034.fasta
S131	pYTK035.fasta
S132	pYTK036.fasta
S133	pYTK037.fasta
S134	pYTK038.fasta
S135	pYTK039.fasta
S136	empty
S137	pYTK041.fasta
S138	pYTK042.fasta
S139	pYTK043.fasta
S140	pYTK044.fasta
S141	pYTK045.fasta
S142	pYTK046.fasta
S143	pYTK047.fasta
S144	pYTK048.fasta
S145	pYTK049.fasta
S146	pYTK050.fasta
S147	pYTK051.fasta
S148	pYTK052.fasta
S149	pYTK053.fasta
S150	pYTK054.fasta
S151	pYTK055.fasta
S152	pYTK056.fasta
S153	pYTK057.fasta
S154	pYTK058.fasta
S155	pYTK059.fasta
S156	pYTK060.fasta
S157	pYTK061.fasta
S158	pYTK062.fasta
S159	pYTK063.fasta
S160	pYTK064.fasta
S161	pYTK065.fasta
S162	pYTK066.fasta
S163	pYTK067.fasta
S164	pYTK068.fasta
S165	pYTK069.fasta
S166	pYTK070.fasta
S167	pYTK071.fasta
S168	pYTK072.fasta
S169	pYTK073.fasta
S170	pYTK074.fasta
S171	pYTK075.fasta
S172	pYTK076.fasta
S173	pYTK077.fasta
S174	pYTK078.fasta
S175	pYTK079.fasta
S176	pYTK080.fasta
S177	pYTK081.fasta
S178	pYTK082.fasta
S179	empty
S180	pYTK084.fasta
S181	empty
S182	pYTK086.fasta
S183	pYTK087.fasta
S184	pYTK088.fasta
S185	pYTK089.fasta
S186	pYTK090.fasta
S187	pYTK091.fasta
S188	pYTK092.fasta
S189	pYTK093.fasta
S190	pYTK094.fasta
S191	pYTK095.fasta
S192	pYTK096.fasta
S193	pAR040.fasta
S194	pAR040.fasta
S195	pAR041.fasta
S196	pAR041.fasta
S197	p147.fasta
S198	p165.fasta
S199	p205.fasta
S200	empty